Description,TotalSalesDollars,ProfitMargin
Ch de Berne Rose,449.70000000000005,67.80965087836336
Ch de Bonhoste Red Brdx 09,101.93999999999998,78.94840102020797
Ch de Pez 10 St Estephe Brdx,558.87,45.046254048347556
Chambord Vodka,35.98,63.507504168982756
Chanrion Cote de Brouilly,379.80000000000007,93.33333333333333
Chapelle-St-Arnoux CdR Rouge,131.88,33.30300272975432
Charles & Charles Chard,665.85,92.0522640234287
Charles Fournier Rsl,303.81000000000006,69.42826108423029
Charles Joguet Chinon Rose,181.87,75.03711442238962
Chateau Camensac 10,719.85,81.97957907897478
Chateau Carlmagnus 10,944.6500000000001,88.71963160959086
Chateau Gazin Pomerol 10,389.97,31.033156396645907
Chateau Giscours Margaux,399.92,57.478995799159826
Chehalem Ian's Chard Rsv,832.6600000000001,45.08683015876829
Cherry Heering Liqueur,944.7300000000001,50.87485313264107
Cherry On Top Sweet White,64.95,89.00692840646651
Chevalier L'Aujardiere Chard,356.7900000000001,93.73300821211356
Chi Chi's Chocolate Malt RTD,461.58000000000015,98.11083669136444
Chi Chi's Mai Tai,527.5200000000002,28.025477707006395
Chicken & Turkey Cotes du Rh,479.4700000000002,76.34888522743863
Chilcas Pinot Noir,19.99,32.416208104052025
Chimney Rock SLD Cab Svgn,139.98,35.49078439777111
Chinaco Anejo Tequila,66.99,21.8689356620391
Chloe Chard,838.4300000000001,11.205467361616359
Chloe Red,834.3900000000002,10.780330540874187
Christian Bros Ruby Port,720.7200000000001,28.246753246753247
Christian Drouin Calvados,942.5900000000003,87.53859047942372
Christmas Traditions Pnk Mos,119.88,31.03103103103102
Churchills LBV Port,131.94,20.145520691223282
Ciacci 07 Piccolomino Brunlo,779.87,84.51280341595394
Cigar Zin Old Vine Zinfandel,485.73,9.875856957569026
Cinquante-Cinq Chardonnay L,433.69,47.94669003205054
Cinquante-Cinq Viogn Lang Wh,323.76,33.06152705707932
Circa Pinot Grigio,455.64,30.15538583091914
Circa Rosso,116.91000000000001,10.495252758532212
Circadia Cab Svgn Napa Vly,74.99,68.03573809841312
